questionText,answerText,category
i have an alcoholic son who is draining me financially i want to get him help but he doesnt want help its making me anxious and depressed,establish limits on how much money youll give to him tell these limits and as you pointed out expect him to not care or respect your limitstry an alanon meeting these meetings are for family members in similar situations to yourspeople who are addicted are not always willing to know themselves understand their own emotional pain which contributed to their addiction and then decide to live differentlyadditionally these steps take a long time and theres no good reason for you to put your life in jeopardy in order for your son to take advantage of youbeing a family member of an addict makes seeing the dynamics between you and him difficultif some type of group meeting where you can learn from other people who are living in a similar circumstance isnt possible see if you can find an equivalent of this onlineit helps a lot to know how others handles themselves in similar predicaments,Depression
im currently struggling with diagnosed depression anxiety and misophonia also i am  sure i have borderline personality disorder and avoidant personality disorder i read the dsmiv taken college psychology etc i know it in my heart i have them is selfdiagnosing okay with the right research,one of the ways a diagnosis is helpful has more to do with health providers having a common language with which to discuss their patients arriving at a diagnosis requires gathering quite a bit of data on an individual which includes observation i would not recommend selfdiagnosing as it could be challenging for an individual to be objective no matter how much research they have done further i do not believe in pathologizing individuals nor would i recommend anyone pathologize themselves,Depression
im currently struggling with diagnosed depression anxiety and misophonia also i am  sure i have borderline personality disorder and avoidant personality disorder i read the dsmiv taken college psychology etc i know it in my heart i have them is selfdiagnosing okay with the right research,sounds like you are really concerned about the things you are feeling and the way you are interacting with others selfdiagnosing is not typically recommended since there could be a misinterpretation of the criteria even if you do seem to fit the mold how you interpret how you feel or how you behave can be distorted no matter who you are i actually did this to myself when i was in graduate school and it turned out to be wrongwith that being said i believe people are the experts on their lives and know best what is happening for them what is telling you that you have these diagnoses what does it mean about you if you do i dont give a ton of weight to diagnoses in the sense of treatment because a lot of diagnoses share the same underlying themes and origins both borderline personality disorder and avoidant personality disorder can be a result of childhood trauma so treating one may not look that different from treating the other oneand the most important factor will always be the relationship you have with your therapist otherwise treatment wont worki do give a lot of weight to diagnoses in terms of emotional relief it can be really stressful to feel like theres something wrong with you and not be able to give it a category it can reduce stigma as well to know that whats happening to you is normal for what youve been through and that others are going through it too and it definitely helps to know that there are ways to help and people that know how to help youeither way kudos to you for noticing something in your life that you want to change it seems like relationships are important to you and you maybe worry you are pushing people away that are important to you even if you do have these disorders you can totally learn how to change your life,Depression
im currently struggling with diagnosed depression anxiety and misophonia also i am  sure i have borderline personality disorder and avoidant personality disorder i read the dsmiv taken college psychology etc i know it in my heart i have them is selfdiagnosing okay with the right research,any diagnosis is limited in its usefulnessknowing the name of some typical ways you may feel think and behave doesnt help you or anyone to understand why the person is the way they are and how to change any of these characteristicsboth selfdiagnosing and being diagnosed are equally unhelpful to know why you are the way you are and what to do about itconsider yourself a person who wants to find a better way to be who you are and this will get you further with better results than to read a list of descriptions which all are very indicting and negative sounding,Depression
im currently struggling with diagnosed depression anxiety and misophonia also i am  sure i have borderline personality disorder and avoidant personality disorder i read the dsmiv taken college psychology etc i know it in my heart i have them is selfdiagnosing okay with the right research,hello and thank you for your question selfdiagnosing is something that we all do about one health issue or another taking a guess about what may or may not be happening to us is completely normal however the actual clinical diagnoses of a mental health disorder requires a licensed mental health professional here are a few reasons for this 1 making a clinical diagnosis often requires other things besides matching up the symptoms of a disorder to come to a diagnoses for any of the things you mentioned a counselor would consult the dsm but they may also use some type of screening tool assessment or scale many disorders have similarities and it requires someone with training to tease out the differences in the symptoms 2 our judgement is sometimes off when it comes to assessing ourselves we really cant be objective something as serious as determining a diagnosis really needs to be done by someone who has that objectivity in addition once you know your diagnosis treating it usually requires help from a professional 3 sometimes the symptoms of a mental health disorder makes selfdiagnoses impossible in and of itself for example someone could be having hallucinations or delusions and not realize it that would clearly make it impossible for them to diagnose themselves there a many examples where something like this could happen with different mental health disorders there are other reasons but these are three important ones now does this mean that you are wrong about your diagnosis maybe not you may be correct but it is important to get this confirmed by a professional mental health clinician if a disorder is then found you can begin to talk about treatment hope this was helpful be wellrobin j landwehr dbh lpcc ncc,Depression
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,talking with parents can be very challenging even if they are loving and understanding have you ever discussed these issues in the past if so how did they respond itd make sense if you were avoiding a discussion if they have responded negatively to you or even neutrally we rely on our parents for action when we are in need and it can feel so disappointing when they dont meet our needs if this is the case for you you could still reach out to them if you feel safe to that might mean being very candid about what you need from them or what you are seeking for yourself sounds like you already know you are struggling and you want to get some help which is awesomedo you worry they wont believe you or that theyll be disappointed in you for selfharming if you are struggling with these worries it may be worth talking to another trusted adult about how to bring the issues up to your parents maybe that adult could be part of the conversation if appropriate or available also do you have any siblings that are old enough to be part of the conversation or maybe be a shoulder to lean on no matter what happens social support is really important so you dont have to go through it all aloneis it possible that your parents or even one of your parents will be proud of you for speaking up for yourself and trying to get help sometimes depression and anxiety immobilizes us because we fear the worst when in reality there are many more possibilities one of the things i have my teen clients work on if they want to communicate something to a caregiver is have them come up with a bulletpoint list of the things they need them to know so maybe your list would include symptoms youve been struggling with how you want to change and what you need from them to help you change if you do this and it doesnt turn out well remember that its on them and not you sometimes parents are doing the best they can and sometimes its not good enough that never means you arent worth helping it could be helpful to make a backup plan for how you will try to reach out to someone if they dont respond wellyou also dont specify your age or if you are even a teen im assuming you are but if not you may be able to get help without their consent or help if you are closer to age 18 you may not have long to wait i truly hope you find what you need,Depression
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,if you have already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder can you go back to the people who diagnosed you with those thingsit may be that your parents would be open to you talking with someone because it sounds like you have done this in the past i dont know whether you have a specific reason that you are thinking they may have some hesitation but if you are comfortable saying that you would really like to talk to someone because you are feeling sad or anxious or whichever of your concerns you feel comfortable revealing to them that may be a way to start the process as for how you tell them about the fact that you have harmed yourself in the past and used to be suicidal a therapist may be able to work together with you to discuss the best way to tell them about thatim not sure if you have told anyone about what you have been experiencing but if you have some support there perhaps they would be able to give you feedback about ways to talk with your parents as wellyou mentioned that sometimes you hear voices this can happen for a variety of reasons but if the voices that you hear are giving you directions and you feel as though you might follow them that would be a time to ask for immediate help before you follow through with what they are telling you perhaps by calling 8002738255 they may be able to connect you with local resources and they can definitely talk with you in the moment that you call,Depression
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,family support is very helpful when having these symptoms i suggest looking for therapist within reach school through your insurance or the community calling 211 once you schedule a session you can inform them and invite them to come in i have found trough sceptic parents that once they give it a chance they open up to the process of learning and healing i also understand that parents may become overly concerned and overprotective when hearing about your symptoms and thats why is important to discuss them with a therapist normalize them understand why you experience them and learn how they could help you cmo les digo a mis padres que yo pienso que tengo problemas mentalesestoy seguro que tengo depresin ansiedad tambin escucho voces en mi cabeza tengo problemas para dormir tambin y he sido diagnosticado con dficit de atencin y desorden obsesivo compulsivo me he auto flagelado y sola tener ideas suicidas como les dejo saber y les pido ayudael apoyo de la familia es muy til cuando se experimentan los sntomas que mencionas te sugiero que busques un consejero en la escuela a travs de tu plan mdico o en la comunidad llamando al 211 ya que tengas tu cita invita a tus padres he observado que aunque algunos padres son escpticos al principio pero una vez le dan una oportunidad se abren al proceso de terapia y sus beneficios tambin he observado que algunos padres se vuelven sobreprotectores cuando aprenden de los sntomas que sufren sus hijos as que sera otro beneficio que aprendieran que pueden hacer para ayudarte y apoyarte,Depression
i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,what stops you now from telling your parents the way you are feelingdo you imagine asking them for therapy would be a surprise for themif theyre paying attention to you at all then i imagine theyd feel relief to know youre aware of having some feelings within yourself of a problemif you believe theyd have a negative reaction to you asking for help this may very well be part of why you are having problems in the first placewhat reaction did your parents have when you were diagnosed with the other conditionsid separate their willingness to help you from your sense of needing helpif they do not want to help with finding a therapist for you then start by looking for services available for people in your age group whose parents also do not wish to be involved in their childs emotional and psychological health,Depression
i think adult life is making him depressed and we often sleep in on weekends untill  or  pm we just eat smoke weed watch movies and hell go on his phone all day he doesnt seem motivated to do much and hes often angry i have no clue how to help him take his mind off the negative or to distract him into a different light how do i help him,thats a giant task to have to do all on your own its hard to watch someone you care about feel depressed and im guessing it brings you down too change is tricky most people need to hit a rock bottom before they can transform their lives rock bottom is a moving target thoughmeaning one persons rock bottom could look completely different than someone elses for some people thats a trip to the hospital for others its failing an exam its about what brings up enough discomfort with awareness of why with the current way of living that not changing would be more painfuldepression is so hard but it can also be weirdly comforting it sucks to feel sad but at least you know what to expect he knows that hes going to get high zone out into his phone and his anger is probably pretty predictable on the other hand change is uncertain is he open to seeing a therapist or open to trying anything new with you if not thats not your fault nor is it your responsibility you obviously care but that doesnt mean its on you if he doesnt follow through it seems like maybe he feels some comfort in the daily structure that you described but even getting out for a walk could help his mindset a bit overall its not a guarantee that you can help him though it is really incredible that you have so much empathy for him make sure you are taking care of yourself because you matter too,Depression
i think adult life is making him depressed and we often sleep in on weekends untill  or  pm we just eat smoke weed watch movies and hell go on his phone all day he doesnt seem motivated to do much and hes often angry i have no clue how to help him take his mind off the negative or to distract him into a different light how do i help him,how do you help yourself to believe you require more than what he offers to youwhat do you get from this relationship which feels satisfyingto answer this question may in the longterm be the best way to help your bf,Depression
i cant seem to feel any emotion except anxiety not even for myself,thank you for posting im interested to hear some more information such as if you live by yourself or family if you go to schoolemployedunemployed and what kind of things do you like to do with friends or by yourself often times when we are experiencing a strong emotion that we interpret as negative we put most of our focus on that negative emotion and struggle to see that we do not always feel that specific emotion there are typically points in the day even if it is for only in 1 minute intervals when we do not feel that negative emotion when we overgeneralize we use words like always or never and when we use those words and it may not be totally true we feel the negative emotion based on an inaccuracy which is not fair to you ask yourself some of these questions am i being realistic when im overgeneralizing things have i ever noticed a short period of time that i wasnt feeling anxious what do i notice when i am feeling anxious what am i thinking about when was the last time i felt empathy what was different when i was able to feel empathy hopefully this helps get you started,Depression
i cant seem to feel any emotion except anxiety not even for myself,its not normal to feel no empathymaybe you do have a little more empathy for yourself than you realize since you seem to express some empathy toward yourself not feeling emotionstry to understand the circumstance about which you feel anxiety this may increase your empathy toward yourselfif you feel anxiety about a relationship then empathize with having lost the relationshipif you feel anxiety about not having enough funds to pay bills then empathize with yourself for this situationif you feel anxiety about how someone engages with you then empathize with feeling unsure of how to respond to thisbasically see if you can substitute empathy toward yourself for the tension of your anxiety,Depression
i cant seem to feel any emotion except anxiety not even for myself,its very common to lose the ability to experience empathy when you are overwhelmed burned out andor exhausted empathy is about accessing your own emotions in a way to understand someone elses experience or circumstance if theres something in you emotionally that you may be trying to avoid it may shutdown your willingness to feel or express empathy altogether this also happens often with emotional exhaustion as well as if we arent putting up boundaries with our empathy brene brown has a great video on this httpswwwyoutubecomwatchv5u3vcguzqiione way to think about this is to ask yourself what your anxiety is trying to tell you is there maybe something that you arent addressing in your life that is bugging you or do you feel you are addressing too much and are spread too thin im also unsure if your comment means you dont have any emotion for yourself or you dont have anxiety for yourself but i want to point out that you do have some sort of emotion for yourself thats the very reason you have asked this question fear does a stellar job at masking emotions like sadness and shame you may not be aware of these feelings but they could still existloss of empathy can sometimes lead to a disconnection from the pain of others though the extreme versions of this are not very common if you do start to experience homicidal ideation or thoughts about seriously harming others its important you talk to someone right away,Depression
i cant seem to feel any emotion except anxiety not even for myself,empathy usually falls on a spectrum meaning that some people show more than others empathy is the ability to look at the world through someone elses eyes or walk a mile in their shoes there could be some people in your life for whom empathy is easier to feel and those for whom you have no idea what they are experiencingempathy is not usually categorized as an emotion but as something related to emotions for example you could have empathy about someones anxietyim not sure whether you are also referring to the idea that you dont have sympathy for yourself or others thats a different concept but also involves different degreeswhen you say you dont have emotion except anxiety i wonder if you are saying that you have anxiety all the time and it may be covering up other emotions if you are experiencing a lot of anxiety try to look at what it connects to and find something that changes your focus for a few minutes this could be any number of activities such as watching tv cooking reading a book or many other optionsif you are feeling as if you are just going through the motions and not having a lot of emotions about anything if its just been a few days it may just be related to a current stress that will lessen in a few days if it has been quite a while consider tracking your mood and looking at when you do notice changes in your emotions there may be some variations that you are not aware ofif you continue to feel anxious and as if you dont have as many emotions as you would like consider talking with your primary care physician or a local therapist,Depression
i cant seem to feel any emotion except anxiety not even for myself,empathy is the ability to tap into our own experience to help us connect with others in order to be aware of how they are experiencing life it is a skill that we learn with practice and refine as we become mature if you are feeling anxious maybe you are able to understand better others who are going trough anxiety but i wonder if instead of feeling empathy you may just want to find ways to reduce your anxiety a good idea is to be very aware of your anxiety triggers and once you identify them explore other ways you could react sera normal que no sienta empataparece que no puedo experimentar ninguna otra emocin que no sea ansiedad ni si quiera por m misma empata es la habilidad de usar tus propias experiencias para conectarte con otros y estar consciente de la manera que ellos experimentan la vida es una destreza interpersonal que aprendemos y refinamos con la prctica y segn maduramos como personas si te ests sintiendo ansioso tal vez puedas comprender mejor como otra persona experimenta momentos de ansiedad pero me pregunto si en lugar de estar buscando sentir empata realmente quisieras reducir tus niveles de ansiedad una buena manera es estar consciente que activa la ansiedad y ya que lo identifiques explora que otras reacciones pudieras tener,Depression
i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,have you tried to allow yourself some breathing space to emotionally recuperate from the breakupsometimes people expect themselves to bounce back faster than is feasible then the suffer from both the sadness and distractibility from the breakup in addition to the suffering which is selfinduced by not permitting time to feel upset about the loss of the relationshipbe gentle and kind toward yourself because loving yourself will release some of the tension you feelsince you write that you cannot function and you wrote a question on an online website maybe youre not giving yourself enough credit for your capacity to functionanyone who is not functioning wouldnt be capable to write a question about themselveswhile what you write about yourself is in broad terms my equally broad answer is you may be doing better than you think and the key problem is the discomfort and impatience that the feeling of sadness from the breakup was more in the past than currently is the case,Depression
i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,i dont know how long ago your breakup was but i would suggest that you reach out to friends or family that you trust and perhaps a local mental health clinicianim not sure what you mean when you say that you are not able to function during the day and night if you are having trouble sleeping for more than a few nights consider talking with your primary care physician not sleeping can really make changes in your emotions seem much largercan you find anything in your life that is the same as it was before the breakup this may be a starting point for you i wonder if you could think of and moment or two each day when you feel emotionally at peace while you are awake also consider looking at things that you can control such as when you choose to wear eat and who you talk to about your deepest feelingsyou mentioned that you have friends and family i wonder if any of them are supportive to youplease reach out and talk to someone about the details i get the sense that you feel that you are alone in this and having someone there to help you sort out what youre feeling sounds like it would be a gift to yourself,Depression
i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,it is common to go through a stage of adjustment after a breakup which may include depression symptoms i recommend practicing selfcare stressing on balancing your life with healthy eating exercise resting and looking at your spiritual life these steps should assist you in giving your body and mind some balance practice cognitive reframing this is training your brain to refocus and stay on task meditation is a great tool to clear your mind during the day as well there are multiple apps that help if the problem persists a therapist could assist you in learning to focus and process those thoughts and feelings that cloud you mindcmo puedo manejar la depresin despus de una separacinhe estado cayendo en una depresin profunda que no me permite funcionar durante el da el nico memento en el que estoy en calma es cuando duermo si estoy con mis amigos familia en el trabajo o a solas no puedo pensar claramente ya no me siento como yoes comn pasar por un estado de ajuste despus de una separacin y este ajuste puede incluir sntomas de depresin recomiendo que practiques auto compasin esforzarte en balancear tu vida comiendo saludable ejercitndote descansando y analizando tu vida espiritual estos pasos te ayudarn a balancear tu mente y cuerpo tambin puedes practicar reenfocar tus pensamientos para mantener tu mente clara la meditacin es una buena manera de practicar el enfoque mental y existen muchas aplicaciones que te pueden ayudar si el problema persiste tu consejero te puede ayudar a aprender tcnicas de enfoque a procesar pensamientos o sentimientos que te estn afectando,Depression
i have been feeling more and more down for over a month i have started having trouble sleeping due to panic attacks but they are almost never triggered by something that i know of,the first thing i usually recommend to clients that are coming in for these issues in addition to stress management is visiting their doctor we really dont know if its something psychological thats influencing your symptoms or if theres other issues happening within the body pancreas or thyroid issues can perpetuate anxiety and depression symptoms pretty intenselythese are things your doctor knows more about and can help test for and maybe rule outas you probably already know lack of sleep is a giant contributor to an increase in symptoms we dont know too much about sleep in the research but we do know its necessary to function and function well some suggestions here from the research we do have creating a calming routine at night can help with your bodys relationship to sleep this can be your normal nightly hygiene paired with some relaxing videos or soundscapes there are apps for thiscalm headspace panicshield practicing these for a few weeks can help your brain pair your routine with sleeping another suggestion directly from the research is not to take naps yes your brain needs sleep but napping messes with our circadian rhythm and our qualityquantity of nightly sleep when we sleep we go through sleep stagesbut when we nap those stages arent completed like they would be during a full night of sleep where we go through those stages multiple times both deep sleep and rem sleep typically when we dream seems to be especially important for feeling rested napping usually only offers us a small dose of that whereas a full night can offer as many more completed cycles including both these stages if you are waking into a panic attack this site may give you some info on what that means httpswwwmayoclinicorgdiseasesconditionspanicattacksexpertanswerspanicattacksfaq20057984 heres a great information website that has tons of resources including support groups httpswashingtoncenterforcognitivetherapycomproblemstreatedpanicdisorderpanicdisorderorganizationsglad you reached out here,Depression
i have been feeling more and more down for over a month i have started having trouble sleeping due to panic attacks but they are almost never triggered by something that i know of,answers about our inner lives are most successfully reached from a sense of feeling grounded in oneselffirst step is to accept your nervousness and restless sleep as often as possible sleep during daytimes in order for your body to catch up on its need for restaccept too about feeling down it is normal to feel down once in a while from this place of selfacceptance trust any answers which come up to your mind often answers about complicated topics come in small pieces not all at once as a whole unitalso your description about panic attacks is also completely normal they often arise unrelated to particular conditions at a given moment they are a healthy symptom your body is trying to expel bad feelings and does this by having the anxiety erupt at timesso selfacceptance tolerance of being on a process of clearing out worn out emotional clutter and sleep at odd times if possible are all ways to stabilize yourself which will also feel calm and good,Depression
i have been feeling more and more down for over a month i have started having trouble sleeping due to panic attacks but they are almost never triggered by something that i know of,it could be really helpful to see a counselortherapist about your increasing depressionpanic symptoms finding out the cause of depressionanxiety isnt always as straightforward as it seems since both issues tend to become patterns we engage in rather than solely related to a specific triggerreason for example if i am feeling down about a particular circumstance in my life then i start seeing life through this lens of feeling down and typically ill start to see a lot more that i get down about and it can really build very quickly on itself same with anxiety obviously this is a very simplified example and it can be very difficult to see how the pattern is maintained but thats where working with a counselortherapist comes in i would be curious about whether you can start to notice the initial sensations of panic and if you can through the panic attack continue to maintain awareness of the actual physical sensations even better if you can talk yourself through the sensations youre feeling  such as saying to yourself okay im breathing really rapidly and my heart is racing now my palms are sweaty and my chest is feeling really tight reminding yourself that its just your bodys reaction to stress and while it might be overreacting right now youre okay and eventually it will go away i highly recommend the sam for anxiety management app for the anxiety piece and i wouldnt be surprised if addressing the anxiety helped to address some of the depression too,Depression
i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,is it possible you simply didnt mix well with the particular therapists with whom youve worked if this is possible interview a therapist before starting therapy then you will be choosing a therapist who feels compatible with your way of seeing yourself and your lifealso therapy isnt for everyoneread about the different healing modalities and see if one of these speaks to your interest in feeling betterwhat matters most is finding among all the legitimate healing methods what you believe will be effective,Depression
i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,im sorry youve had a difficult time finding what you need sounds like you have been trying super hardits common for people to go through a few therapists before they find a fit i agree with the prior post that relationship is the most important factor in counseling otherwise techniques dont really work it can be the case that you are connecting with your counselor but not able to implement what you are learning for whatever reason thats pretty typical in depression when lethargy is high and motivation is low have you discussed your medication with your prescribing provider it seems like you have advocated for yourself in the past and have put some effort into trying new things thats actually really tough to do depression or not when i have clients that seem to make no progress despite many sessions and different medications i recommend trying a service called genesight heres the link httpsgenesightcomthis service allows you find medications that fit best with your genetic makeup i dont have any affiliation to this service but ive seen some success for people that have followed through since it is very personalized i believe some insurance companies cover the full cost and its easy to uselet me also point out that your motivation is spectacular you have been through multiple therapists and meds yet you still reach out on this forum filled with counselors that shows some dedication to yourself and hope that you can find help to change thats not easy with depression or anxiety,Depression
i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,im sorry that you have tried several different things and not had much reliefi will say that there are several different types of medications that may help and each therapist is different so it is quite possible that a different combination of things youve already tried may be helpfuli would encourage you to continue trying different therapists i would say to give each one at least six sessions before you decide that the approach that they are using is not working for you also most places have a certain sort of structured initial session that must be done but after that the decisions are largely up to what you and the clinician feel is helping if something is or is not working communicate this with your therapist this is a big deal most therapists i know actually welcome this feedbackthere is a fair amount of research into the idea that the therapeutic alliance the relationship that you have in the context of working through the reasons that brought you into therapy is very important also sometimes anxiety and depression can make it difficult to go to therapy on a regular basis if that is something with which you are struggling i would encourage you to talk about that as wellin addition to a solid relationship with a therapist who you connect with you may consider trying something like yoga or meditation mindfulness is sometimes helpful as wellheres a link to questions for finding suitable therapists httpwwwpharmatherapistcom12tipsforfindingasuitabletherapist,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,hello and thank you for your question this is a very serious time i dont mean to frighten you but you are right to be concerned the time right after people leave the hospital after receiving psychiatric services is a time of high risk for suicide it is very important after hospitalization to get followup care with a professional as soon as possible if your husband has an established therapist this is the time to call it is also a good time to alert your support system of friends family clergy or others to let them know he is still struggling this is good support for him and youit is important to think about means and opportunity to make another attempt means really do matter so if you have a firearm in the home it is really important to remove it you cant remove all things that a person may hurt themselves with but some things are more lethal than others firearms are very lethal i am not sure what means he used last time but try to reduce the opportunity for him to access it again this is where your support system can help out people can take turns hanging out with him until you are sure the crisis is overif you believe that an attempt is going to occur talk to your husband about going back to the hospital if he refuses you will want to find out what your options are to have him go even if he doesnt want to i know the thought of that really hurts but it can save his life calling 911 is always a good option if you are not sure usually a suicide crisis meaning they want to harm themselves right now lasts a few minutes hours or days sometimes when you get them through the crisis stage they no longer want to commit suicide but as you are indicating that feeling of wanting to commit suicide can come back again so it is always good to have a plan if you want more information call the national suicide prevention lifeline they will always answer 18002738255 they can help you create a specific safety plan i do hope things work out alright be well robin j landwehr dbh lpcc ncc,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,this is actually more common then we often realize and actually understandable as he has gone through a trauma an unresolved existential crisis he was taken care of by others and now is again left alone with his own internal and rather horrific inner strugglein my work with cct or contextual conceptual therapy see wwwsuicidetherapycom i have learned how trapped suicidal people are in their own isolation also called a mysterious isolation a form of self protection which cuts the off from their self or spirit and unless they address this message from their soul accompany a guide on a journey to discover their own missing information that is to recognize how their own uncomforted emotional pain has resulted in a coping stategy which has effectively cut themselves off from their own beauty their self and their ability to receive love from themselves and others their attempt to kill themselves is a cry from their soul or spirit that they cannot live the life they are living any longer they take this literally and try to end their life when in fact what their soul or spirit is saying is they need to begin to live the life they came here to live,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,im thankful to read your husband found care and that his suicide attempt wasnt successful while he was hospitalized and prior to his release your husband wouldve been provided in writing a selfcare action plan this typically includes things like committing to a contract not to harm and what to do if he felt overwhelmed by his anger depression and hopelessness eg call 911 call therapist go to nearest hospital emergency department additionally his protocol wouldve provided instructions for his taking medications as directed having a followup appointments with his psychiatristpsychologistclinical social worker and participating in some form of small group support if your husbands struggling as you describe and you are feeling overwhelmed or frightened for his your safety id encourage you to seek immediate assistance,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,this must be so difficult for both of you watching someone you love suffer so profoundly can bring up lots of difficult feelings without knowing what you are already doing i have a few thoughts to share with you first and foremost know that you cannot fix this for him and get support for yourselfas much as you are able make space in your relationship for him to talk about what he is experiencing he might not want to talk and that is okif he wants to talk try to listen without judgement and without trying to talk him out of his feelings focus on validating his feelings and just sitting with him in his painlet him know how you feelthat you love him that you care that you are concerned that this is scary for you too that you are herei hope that this is helpful on my website wwwsarahmcintyrelpccom ive written a series of blog posts about coping with distress the techniques ive written about there may be supportive for you and your husband sending warm wishes your way sarah,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,i appreciate that you are concerned about your husbands emotions and want to support him as best you can right now i imagine that you must be going through your own difficult time too youve had a complicated shock and trauma in your life and in your marriage its normal for both of your emotions to move from hope to despair to fear anger gratitude there is no wrong way to feel and there is no particular pattern your emotions or his will follow try not to assume what he is feeling but ask him instead how are you doing today is something that can be asked over and over again and your love and compassion for him will come through if he has a hard time talking you can share your observations i notice youre more withdrawn this worries me certainly it will help you if you know what hes thinking and feeling because he hid his intentions to hurt himself its normal that you want to know if there is depression and hopelessness this likely was part of what led to his initial despair there is help out there depression is treatable and seeking that treatment is important right now at this vulnerable time this is the kind of complex situation that can be assisted by a therapist who is qualified to help you both understand and manage your emotions whether your husband seeks help or not i hope that you do,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,a failed suicide attempt is commonly thought of as a cry for help however it can also be a serious attempt to find a permanent solution to depression hopelessness or other feelings a person feels are unbearable its wonderful that you want to support your husband but if your husband is feeling depressed and hopeless you can best help him by getting him to a mental health professional feelings of hopelessness and depression and previous attempts at suicide are all risk factors for future suicide attempts with a mental health professional or in the emergency room of a hospital your husband should be evaluated for suicidal thoughts intent and plan and if he is a danger to himself he should probably be hospitalized again until he is stable without knowing the particulars your husband may suffer from major depressive disorder or some other illness on the depressive spectrum in that case medication could help him immensely at which point you can offer your support and encouragement him to practice gentle selfcare and do not forget to practice it for yourself remember a suicide attempt not only affects the person but it is an immense stressor for his or her loved ones as well as they say put your oxygen mask on first then you will be better able to provide your husband with calm and loving care and attentionkayla schwartz lmswemail protected,Depression
after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,the fact that youre reaching out for help here is really helpfulthe first thing i would suggest is that you consider seeing a local mental health professional yourself to be able to talk about the details how this is affecting you and how you can hold onto you are while also being supportive to you husbandfrom the way that you describe this i wonder what has changed since coming home from the hospital perhaps you can have a conversation with your husband this and mention that you are asking him questions to learn more about his experience and you can discuss how you notice that things were going much better when he came home from the hospital and now things are not as good perhaps he can tell you about what is different so that you may know him would be most helpful to himi also hope that you husband is still continuing with his own treatmentthere may also be a local peer support telephone number for the county that you live in that they be able to help you determine whether your husband needs more immediate treatment if he is feeling hopeless again there are national crisis telephone numbers listed below as well,Depression
